Review_ID,Truly_Predicted_Class,Original_Text,Explanation,Label1,Label2,Label3
30,Positive,four last night night flamenco nai village underground establishment makes size create sconces intimate cave daily life seã orita overall places friend made pm charge time reserving place gets packed tighter boquerones drinks stick amazing version balance apple fruit flavors replaced splendor went pitcher sangria absolutely glasses feeling quickly though sure fruit show absolutely gypsy solo performances stunning eyes transfixed watched dig whipping hair around whip clapping music sultry wish set hour places nai make city flamenco show without spain definitely back fire perhaps two ,definitely place apple show flamenco ,0,0,0
95,Negative,place tourists locals eat competitors actually american wait service overpriced melted soggy outside condiments unsanitary nauseating point pork tony now gooey anywhere go away light ,light eat wait american tourists ,0,0,0
28,Positive,thursday night enjoy flamenco show review ordered champagne sangria sangrias good perfect sweetness bubbles leaving musicians remember half way thinking manhattan without leaving city feel teleported spain forget york want authentic experience ,perfect feel authentic show flamenco ,1,1,1
215,Negative,visited three every time feeling disappointed servers lackadaisical good hour friendly given arrived refilled ever sitting counter end phones talking laughing acknowledging offer drafts dollar deal happy even another reviewer mentioned descriptions completely exaggerate actually kitchen food mediocre boring completely ,another time sitting hour every ,0,0,0
64,Positive,hipsters stopped evening munch tapas music great find wonderful atmosphere even good interesting people fun also service good professional particularly bartender tonight flying orders dropped moment order brought piping hot know many helpless longing food cooled bar happen free live performing saturday night will definitely back ,service definitely evening even fun ,1,1,1
134,Negative,worst cheesesteak joint philly review trap lights joint may make look appealing cheesesteak chopped kinds philly grill thin really tourist reading wanting try real cheesesteaks suggest go else maybe across street pats better suggest tony luke ,cheesesteak better review may chopped ,1,1,1
112,Positive,impressed however job store attractive bright orange color decorated patches polices country limited selections cheesesteak loved people plain ignorant cheesesteak thought purist simple clean use cheese example onions order cheesewhiz ordered side knew eating likes nice lean steak bits provolone blander taste onions bread service bright cheerful place eat ,service place job orange onions ,0,0,0
1695,Negative,went last crunchy banana pancakes half wait across sloshed started pancakes pancake aficionado snob call taste chocolate pancakes top raspberry jam biscuits anything else boring traditional long csbc someday go back blueberry ,pancake long pancakes wait anything ,0,0,0
76,Positive,got trip one gonna teh try july days assembly prep cheese kitchen right sandwiches patron competetion decided going buy sit tables meant guy presummembly geno screaming guy lost crap care one kept screaming left enetertaining waited long drooling cheesesteak provolone onions bf cheese wiz ugh wiz fries drink steaks worth cost first teh meat cheese wiz something perhaps bite mine boy onions heavenly ate thing bites literally tempted first philly lot think geno got ever back philly will def grab one much complaint ,onions thing def perhaps try ,0,0,0
90,Negative,visiting philly decided one one share decided try first upon ordering faced racist political founder offensive ignorant well english speaking establishment may made want part however picking cheesesteak across first girlfriend cheesesteak eh flavor reviews stated worth best cheesesteaks jersey ,cheesesteak upon well first girlfriend ,0,0,0
